Accession,Description,Gene,MW [kDa],Control_3,Case_3
P62333,26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,PSMC6,44.1,6045406.5681714015,2914044.6006579567
Q14103,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1,HNRNPD,38.4,5208997.833837425,11718758.420614352
Q9Y5B6,PAX3- and PAX7-binding protein 1 OS=Homo sapiens OX=9606 GN=PAXBP1 PE=1 SV=2,PAXBP1,104.7,994769.3453879677,927751.2052720366
P17098,Zinc finger protein 8 OS=Homo sapiens OX=9606 GN=ZNF8 PE=1 SV=2,ZNF8,64.9,439217.3381975244,335349.27626522176
O60762,Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=DPM1 PE=1 SV=1,DPM1,29.6,2004178.592266468,2869516.577494133
O43435,T-box transcription factor TBX1 OS=Homo sapiens OX=9606 GN=TBX1 PE=1 SV=1,TBX1,43.1,2677072.4969009454,1136840.5541153632
Q9P035,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens OX=9606 GN=HACD3 PE=1 SV=2,HACD3,43.1,4987780.296500266,10831084.987549197
O00750,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta OS=Homo sapiens OX=9606 GN=PIK3C2B PE=1 SV=2,PIK3C2B,184.7,940562.0654265494,662530.0674311739
P50914,Large ribosomal subunit protein eL14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4,RPL14,23.4,10706712.025737526,19296564.37219338
O00566,U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2,MPHOSPH10,78.8,2316060.4001174164,1550630.108720611
Q14135,Transcription cofactor vestigial-like protein 4 OS=Homo sapiens OX=9606 GN=VGLL4 PE=1 SV=4,VGLL4,30.9,653738.4416905339,674304.7823957934
Q86TX2,Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,ACOT1,46.2,1712733.4697394737,2182029.6774283275
P55039,Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=DRG2 PE=1 SV=1,DRG2,40.7,1526957.8976687796,1451130.0282603663
Q14669,E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1,TRIP12,220.3,758288.2874893339,147409.07742532872
Q9BZZ5,Apoptosis inhibitor 5 OS=Homo sapiens OX=9606 GN=API5 PE=1 SV=3,API5,59.0,2848376.1602162933,2396613.6142421234
P61204,ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2,ARF3,20.6,4498955.025437063,26300098.147695925
P47897,Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1,QARS1,87.7,1593028.7226746809,2190384.7055352055
Q06265,Exosome complex component RRP45 OS=Homo sapiens OX=9606 GN=EXOSC9 PE=1 SV=3,EXOSC9,48.9,3042527.384679842,3116392.9178146743
Q15084,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1,PDIA6,48.1,3895129.0337764006,6869800.0852792645
Q69YN2,CWF19-like protein 1 OS=Homo sapiens OX=9606 GN=CWF19L1 PE=1 SV=2,CWF19L1,60.6,1449126.1763647126,2040446.9954879724
O75153,Clustered mitochondria protein homolog OS=Homo sapiens OX=9606 GN=CLUH PE=1 SV=2,CLUH,146.6,1926775.7862744643,435381.8624633979
Q13555,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=4,CAMK2G,62.6,1135909.8901123356,1356720.1915780122
Q9UBK8,Methionine synthase reductase OS=Homo sapiens OX=9606 GN=MTRR PE=1 SV=4,MTRR,77.6,2875953.7372811288,5019379.165820998
P17858,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6",PFKL,85.0,280360.20733521716,1972584.0336537927
Q5JSH3,WD repeat-containing protein 44 OS=Homo sapiens OX=9606 GN=WDR44 PE=1 SV=1,WDR44,101.3,926253.3346533746,168160.48296722604
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=NHERF1 PE=1 SV=4,NHERF1,38.8,1620384.9743555428,1046570.8212732137
O15357,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Homo sapiens OX=9606 GN=INPPL1 PE=1 SV=2",INPPL1,138.5,1523986.1350463026,921821.035052758
P07384,Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1,CAPN1,81.8,3092906.137792208,1793863.3773845257
Q9H3U1,Protein unc-45 homolog A OS=Homo sapiens OX=9606 GN=UNC45A PE=1 SV=1,UNC45A,103.0,804876.0292353618,862584.7969604192
P53007,"Tricarboxylate transport protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A1 PE=1 SV=2",SLC25A1,34.0,1427730.5378320797,2223626.8566175783
Q9Y223,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase OS=Homo sapiens OX=9606 GN=GNE PE=1 SV=1,GNE,79.2,1233703.27090903,1641246.0859889206
Q86UE8,Serine/threonine-protein kinase tousled-like 2 OS=Homo sapiens OX=9606 GN=TLK2 PE=1 SV=2,TLK2,87.6,744009.3264489947,2380055.2512366897
Q9BRP8,Partner of Y14 and mago OS=Homo sapiens OX=9606 GN=PYM1 PE=1 SV=1,PYM1,22.6,2852445.3800168196,1544424.5305176585
Q99497,Parkinson disease protein 7 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2,PARK7,19.9,3269303.8608828275,6185249.47195403
Q9UBB9,Tuftelin-interacting protein 11 OS=Homo sapiens OX=9606 GN=TFIP11 PE=1 SV=1,TFIP11,96.8,1249572.0838290397,6867221.099526464
P62910,Large ribosomal subunit protein eL32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2,RPL32,15.9,6914039.441896452,12714813.733462162
Q8NEZ2,Vacuolar protein sorting-associated protein 37A OS=Homo sapiens OX=9606 GN=VPS37A PE=1 SV=1,VPS37A,44.3,2595271.0947486134,2405424.2551839477
Q96BD8,Spindle and kinetochore-associated protein 1 OS=Homo sapiens OX=9606 GN=SKA1 PE=1 SV=1,SKA1,29.5,1140021.1272535007,307755.53920155147
Q8N3U4,Cohesin subunit SA-2 OS=Homo sapiens OX=9606 GN=STAG2 PE=1 SV=3,STAG2,141.2,1365595.2689528058,1688143.4930815506
Q12857,Nuclear factor 1 A-type OS=Homo sapiens OX=9606 GN=NFIA PE=1 SV=2,NFIA,55.9,2402345.8571032938,1228450.8372044025
O75391,Sperm-associated antigen 7 OS=Homo sapiens OX=9606 GN=SPAG7 PE=1 SV=2,SPAG7,26.0,4360946.784058728,3941526.5449780626
P63220,Small ribosomal subunit protein eS21 OS=Homo sapiens OX=9606 GN=RPS21 PE=1 SV=1,RPS21,9.1,1538714.0941549828,876014.4146050931
P84095,Rho-related GTP-binding protein RhoG OS=Homo sapiens OX=9606 GN=RHOG PE=1 SV=1,RHOG,21.3,2686720.929891998,4083918.3177262
Q96T58,Msx2-interacting protein OS=Homo sapiens OX=9606 GN=SPEN PE=1 SV=1,SPEN,402.0,3233302.432810071,321057.6391770721
Q96AG4,Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,LRRC59,34.9,2969491.7959405826,1825077.1071673054
Q9Y597,BTB/POZ domain-containing protein KCTD3 OS=Homo sapiens OX=9606 GN=KCTD3 PE=1 SV=2,KCTD3,88.9,2095353.7438346364,2077608.1292389268
P54105,Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1,CLNS1A,26.2,2607371.680173318,1265147.112460612
Q9BTA9,WW domain-containing adapter protein with coiled-coil OS=Homo sapiens OX=9606 GN=WAC PE=1 SV=3,WAC,70.7,1203684.3203271083,1949433.7466047104
Q86XZ4,Spermatogenesis-associated serine-rich protein 2 OS=Homo sapiens OX=9606 GN=SPATS2 PE=1 SV=1,SPATS2,59.5,1585382.8438012155,2037641.8683413074
Q9HC52,Chromobox protein homolog 8 OS=Homo sapiens OX=9606 GN=CBX8 PE=1 SV=3,CBX8,43.4,2149342.4378405213,2014620.8394392296
Q15542,Transcription initiation factor TFIID subunit 5 OS=Homo sapiens OX=9606 GN=TAF5 PE=1 SV=3,TAF5,86.8,1853366.837065628,1389477.8560021275
Q9NWZ3,Interleukin-1 receptor-associated kinase 4 OS=Homo sapiens OX=9606 GN=IRAK4 PE=1 SV=1,IRAK4,51.5,1382330.1882527876,1702714.7837120632
Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP2 PE=1 SV=1,RAB3GAP2,155.9,978871.3693684599,632503.0920287479
Q9UEE9,Craniofacial development protein 1 OS=Homo sapiens OX=9606 GN=CFDP1 PE=1 SV=1,CFDP1,33.6,2393781.445958269,2162743.130482042
O95372,Acyl-protein thioesterase 2 OS=Homo sapiens OX=9606 GN=LYPLA2 PE=1 SV=1,LYPLA2,24.7,3766986.0808432368,2486360.459247068
Q6NYC8,Phostensin OS=Homo sapiens OX=9606 GN=PPP1R18 PE=1 SV=1,PPP1R18,67.9,1530293.5381239261,16698941.66304677
Q9UFF9,CCR4-NOT transcription complex subunit 8 OS=Homo sapiens OX=9606 GN=CNOT8 PE=1 SV=1,CNOT8,33.5,4275709.666107406,3503385.572395117
P63173,Large ribosomal subunit protein eL38 OS=Homo sapiens OX=9606 GN=RPL38 PE=1 SV=2,RPL38,8.2,6362663.147392528,7929158.871382878
Q15390,Mitochondrial fission regulator 1 OS=Homo sapiens OX=9606 GN=MTFR1 PE=1 SV=2,MTFR1,37.0,1961724.65442176,1587462.000401293
Q5T8P6,RNA-binding protein 26 OS=Homo sapiens OX=9606 GN=RBM26 PE=1 SV=3,RBM26,113.5,4100006.5828875136,3381873.738975157
O15427,Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1,SLC16A3,49.4,10169458.23195778,16000222.624380454
Q71UM5,Ribosomal protein eS27-like OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=3,RPS27L,9.5,1265555.3524957988,1717870.3919934176
Q9GZV5,WW domain-containing transcription regulator protein 1 OS=Homo sapiens OX=9606 GN=WWTR1 PE=1 SV=1,WWTR1,44.1,3739444.569726719,181427.35084196762
P61962,DDB1- and CUL4-associated factor 7 OS=Homo sapiens OX=9606 GN=DCAF7 PE=1 SV=1,DCAF7,38.9,1990519.8403791524,1307315.6110499317
Q6VY07,Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens OX=9606 GN=PACS1 PE=1 SV=2,PACS1,104.8,1403712.161571292,421278.45855787996
Q96RE7,Nucleus accumbens-associated protein 1 OS=Homo sapiens OX=9606 GN=NACC1 PE=1 SV=1,NACC1,57.2,1865516.9365419,6953429.673786779
O43592,Exportin-T OS=Homo sapiens OX=9606 GN=XPOT PE=1 SV=2,XPOT,109.9,659494.6130184138,1490568.79358173
Q15642,Cdc42-interacting protein 4 OS=Homo sapiens OX=9606 GN=TRIP10 PE=1 SV=3,TRIP10,68.3,2773943.60345623,1476765.3957428117
Q5R372,Rab GTPase-activating protein 1-like OS=Homo sapiens OX=9606 GN=RABGAP1L PE=1 SV=1,RABGAP1L,92.5,1349664.1068969301,457541.0932544436
P27540,Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,ARNT,86.6,147630.22515587255,139926.40096281152
P24752,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1",ACAT1,45.2,605104.2766581968,1423450.77638898
Q9UBM7,7-dehydrocholesterol reductase OS=Homo sapiens OX=9606 GN=DHCR7 PE=1 SV=1,DHCR7,54.5,2336535.8844325137,3103930.693977714
Q9NRL3,Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2,STRN4,80.5,1862786.5756740605,1142866.973765868
Q68CP9,AT-rich interactive domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ARID2 PE=1 SV=2,ARID2,197.3,1310905.1280115861,1254337.7188271896
Q86TG7,Retrotransposon-derived protein PEG10 OS=Homo sapiens OX=9606 GN=PEG10 PE=1 SV=2,PEG10,80.1,1745216.3222849525,1204312.7233388457
P46459,Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3,NSF,82.5,735824.5272897296,2026673.175711958
Q9Y2R4,Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens OX=9606 GN=DDX52 PE=1 SV=4,DDX52,67.4,1574096.3730866532,1672531.6884524443
Q8WUM4,Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1,PDCD6IP,96.0,1393768.6110399705,6045577.965481606
Q9ULR0,Pre-mRNA-splicing factor ISY1 homolog OS=Homo sapiens OX=9606 GN=ISY1 PE=1 SV=3,ISY1,33.0,1549339.9347794026,683404.2219341235
Q96EV2,RNA-binding protein 33 OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=3,RBM33,129.9,910171.7658434855,663779.1369549386
Q9Y295,Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1,DRG1,40.5,724304.4580409343,328555.2153372632
Q9P2K3,REST corepressor 3 OS=Homo sapiens OX=9606 GN=RCOR3 PE=1 SV=2,RCOR3,55.5,2125491.134786493,250847.48702183052
Q9BY77,Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2,POLDIP3,46.1,1314611.466135239,2234084.895057509
P35249,Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2,RFC4,39.7,2317201.6753792753,3529011.382340229
P16333,SH2/SH3 adapter protein NCK1 OS=Homo sapiens OX=9606 GN=NCK1 PE=1 SV=1,NCK1,42.8,3122845.536393936,1175479.3032591282
Q8N6N3,UPF0690 protein C1orf52 OS=Homo sapiens OX=9606 GN=C1orf52 PE=1 SV=1,C1orf52,20.6,1479279.2248422906,1598985.1509227427
Q9H920,E3 ubiquitin ligase RNF121 OS=Homo sapiens OX=9606 GN=RNF121 PE=1 SV=1,RNF121,37.9,9035142.203890758,6947648.098121614
P10599,Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,TXN,11.7,54308706.7310834,105187074.05184397
O75044,SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=3,SRGAP2,120.8,1602983.7289976599,536942.6083360275
Q9NSI2,Ribosome biogenesis protein SLX9 homolog OS=Homo sapiens OX=9606 GN=SLX9 PE=1 SV=2,SLX9,25.4,3363514.7333840863,2030724.5453634502
P60981,Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=3,DSTN,18.5,2259886.1211376023,4168026.3364314726
P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,YWHAZ,27.7,1780081.9028678176,2350177.725536455
Q8WWY3,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens OX=9606 GN=PRPF31 PE=1 SV=2,PRPF31,55.4,2141965.3550060913,3184682.0250871177
Q5VWQ0,Lysine-specific demethylase 9 OS=Homo sapiens OX=9606 GN=RSBN1 PE=1 SV=2,RSBN1,90.0,5611504.736459789,397999.6176013862
Q9ULH0,Kinase D-interacting substrate of 220 kDa OS=Homo sapiens OX=9606 GN=KIDINS220 PE=1 SV=3,KIDINS220,196.4,1144373.4468685994,1236355.2324563134
P61604,"10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2",HSPE1,10.9,14281119.786577119,31789160.171411835
Q9Y3P9,Rab GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RABGAP1 PE=1 SV=3,RABGAP1,121.7,1332637.4672033696,1069171.741076396
Q14978,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2,NOLC1,73.6,1976401.911754654,2058237.0534203558
Q9Y2L9,Leucine-rich repeat and calponin homology domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LRCH1 PE=1 SV=3,LRCH1,80.8,1236738.3277382567,970169.6183717655
P23193,Transcription elongation factor A protein 1 OS=Homo sapiens OX=9606 GN=TCEA1 PE=1 SV=2,TCEA1,33.9,1231376.3148250086,300478.41015508707
P33316,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=DUT PE=1 SV=4",DUT,26.5,1214038.8872942298,1919715.9826864204
P60953,Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,CDC42,21.2,1501162.6732056362,2230278.419694185
Q9UKK3,Protein mono-ADP-ribosyltransferase PARP4 OS=Homo sapiens OX=9606 GN=PARP4 PE=1 SV=3,PARP4,192.5,1218541.307153866,387413.06549630634
P10620,Microsomal glutathione S-transferase 1 OS=Homo sapiens OX=9606 GN=MGST1 PE=1 SV=1,MGST1,17.6,2931857.387550667,4298062.165157792
O14929,Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=2,HAT1,49.5,994024.7125446176,1072176.449723705
P11166,"Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens OX=9606 GN=SLC2A1 PE=1 SV=2",SLC2A1,54.0,2936489.409833648,2762924.6232426334
Q969R5,Lethal(3)malignant brain tumor-like protein 2 OS=Homo sapiens OX=9606 GN=L3MBTL2 PE=1 SV=1,L3MBTL2,79.1,1395751.7656619863,1159416.4834735615
P30414,NK-tumor recognition protein OS=Homo sapiens OX=9606 GN=NKTR PE=1 SV=2,NKTR,165.6,1444893.3060465734,539631.1335272299
Q9BTE3,Mini-chromosome maintenance complex-binding protein OS=Homo sapiens OX=9606 GN=MCMBP PE=1 SV=2,MCMBP,72.9,2175139.8972685924,2014827.0810343097
Q9H9B1,Histone-lysine N-methyltransferase EHMT1 OS=Homo sapiens OX=9606 GN=EHMT1 PE=1 SV=4,EHMT1,141.4,1045166.6487092333,569016.6573266941
Q5JVF3,PCI domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PCID2 PE=1 SV=2,PCID2,46.0,771662.7390666305,1183947.7441221692
Q8NFW8,N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2,CMAS,48.3,1179758.8675223964,1514557.2867154805
Q9H9A6,Leucine-rich repeat-containing protein 40 OS=Homo sapiens OX=9606 GN=LRRC40 PE=1 SV=1,LRRC40,68.2,3251800.343529857,5377858.507398419
P52732,Kinesin-like protein KIF11 OS=Homo sapiens OX=9606 GN=KIF11 PE=1 SV=2,KIF11,119.1,512537.3677303125,2711605.95974316
Q9C0B0,RING finger protein unkempt homolog OS=Homo sapiens OX=9606 GN=UNK PE=1 SV=2,UNK,88.0,3114332.7848668084,1597593.1811250013
Q9H8H3,Thiol S-methyltransferase TMT1A OS=Homo sapiens OX=9606 GN=TMT1A PE=1 SV=1,TMT1A,28.3,1158316.4479810214,1887142.8290356598
Q16401,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3,PSMD5,56.2,707775.8068469277,1218523.0509357057
P16949,Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3,STMN1,17.3,3718185.2640546695,2520670.026280485
P11532,Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3,DMD,426.5,662822.6545928067,209037.30553740714
O60763,General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1 PE=1 SV=2,USO1,107.8,600631.9458121002,1618653.7176665098
Q9NZ01,Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1,TECR,36.0,5223404.909453029,11497573.062582968
Q9HBM6,Transcription initiation factor TFIID subunit 9B OS=Homo sapiens OX=9606 GN=TAF9B PE=1 SV=1,TAF9B,27.6,173048.3407939747,131355.2216037237
Q02880,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,TOP2B,183.2,114443.81842241308,616799.8771004761
Q86TB9,Protein PAT1 homolog 1 OS=Homo sapiens OX=9606 GN=PATL1 PE=1 SV=2,PATL1,86.8,4072780.1379696466,1433273.2385962675
P85037,Forkhead box protein K1 OS=Homo sapiens OX=9606 GN=FOXK1 PE=1 SV=1,FOXK1,75.4,9619533.438618895,894960.9949181611
P62857,Small ribosomal subunit protein eS28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1,RPS28,7.8,20146932.108191077,20801913.122597016
P29084,Transcription initiation factor IIE subunit beta OS=Homo sapiens OX=9606 GN=GTF2E2 PE=1 SV=1,GTF2E2,33.0,903103.9638413511,595431.6582808049
O95707,Ribonuclease P protein subunit p29 OS=Homo sapiens OX=9606 GN=POP4 PE=1 SV=2,POP4,25.4,3852067.5175233167,5738025.448494138
Q12830,Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3,BPTF,338.1,1388955.5055129414,1996692.247518346
P28288,ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1,ABCD3,75.4,3720469.347125766,9171253.988520453
P55060,Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,CSE1L,110.3,3783721.8558155056,4529203.438799329
P62854,Small ribosomal subunit protein eS26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,RPS26,13.0,6846051.029753896,10512424.730855033
Q13472,DNA topoisomerase 3-alpha OS=Homo sapiens OX=9606 GN=TOP3A PE=1 SV=1,TOP3A,112.3,494427.402222659,1966995.9025442475
O00541,Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,PES1,68.0,1635201.106023424,4125467.3872906864
P28340,DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2,POLD1,123.6,2308268.7823738293,1798089.8813622207
Q659C4,La-related protein 1B OS=Homo sapiens OX=9606 GN=LARP1B PE=1 SV=2,LARP1B,105.3,816216.8798394199,539975.6274149731
O00139,Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,KIF2A,79.9,1259257.962061051,524631.1320142221
Q9NP72,Ras-related protein Rab-18 OS=Homo sapiens OX=9606 GN=RAB18 PE=1 SV=1,RAB18,23.0,1662855.1316600114,1837329.2261519902
Q92973,Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2,TNPO1,102.3,351161.13765635074,2017765.1484949936
Q6PII3,Coiled-coil domain-containing protein 174 OS=Homo sapiens OX=9606 GN=CCDC174 PE=1 SV=3,CCDC174,53.9,804853.4497039791,202139.41957231553
Q12905,Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2,ILF2,43.0,2769030.5630688663,3872840.327059717
Q8TD19,Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,NEK9,107.1,1573884.8304634485,992763.0531141313
Q07666,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1",KHDRBS1,48.2,4664558.397933335,6352815.627007628
O60869,Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1,EDF1,16.4,1678825.3098179088,1079805.115053842
Q96L92,Sorting nexin-27 OS=Homo sapiens OX=9606 GN=SNX27 PE=1 SV=2,SNX27,61.2,2387777.040268687,1811110.0038047214
A0AV96,RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2,RBM47,64.1,513334.15826945874,658994.7041900067
Q13247,Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2,SRSF6,39.6,2788404.005335006,5189365.420114662
O94913,Pre-mRNA cleavage complex 2 protein Pcf11 OS=Homo sapiens OX=9606 GN=PCF11 PE=1 SV=3,PCF11,172.9,1250590.1103535623,723498.9361334982
Q96EP5,DAZ-associated protein 1 OS=Homo sapiens OX=9606 GN=DAZAP1 PE=1 SV=1,DAZAP1,43.4,460917.2512410153,962654.1947681757
Q04917,14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,YWHAH,28.2,411925.82387219404,1036214.756726343
Q9BV38,WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2,WDR18,47.4,1496102.355015158,1771837.378663902
O95347,Structural maintenance of chromosomes protein 2 OS=Homo sapiens OX=9606 GN=SMC2 PE=1 SV=2,SMC2,135.6,968103.3083472758,3115514.6304366016
Q9UNY4,Transcription termination factor 2 OS=Homo sapiens OX=9606 GN=TTF2 PE=1 SV=2,TTF2,129.5,966799.1232990373,389707.5183324215
Q86YQ8,Copine-8 OS=Homo sapiens OX=9606 GN=CPNE8 PE=1 SV=2,CPNE8,63.1,1952356.9841105265,2371264.7213655272
P16401,Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3,H1-5,22.6,4538071.407142401,10414546.815994335
P14635,G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1,CCNB1,48.3,2230734.5093591698,2095460.4017090653
O95478,Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens OX=9606 GN=NSA2 PE=1 SV=1,NSA2,30.0,4232505.469693344,5718573.8881506575
A0JNW5,Bridge-like lipid transfer protein family member 3B OS=Homo sapiens OX=9606 GN=BLTP3B PE=1 SV=2,BLTP3B,164.1,1361288.1594853855,522785.23955655785
Q16881,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3",TXNRD1,70.9,503753.08712132386,741454.71170267
Q14807,Kinesin-like protein KIF22 OS=Homo sapiens OX=9606 GN=KIF22 PE=1 SV=5,KIF22,73.2,1795713.451911113,198590.13250833898
O60566,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta OS=Homo sapiens OX=9606 GN=BUB1B PE=1 SV=3,BUB1B,119.5,1122944.5265153872,196693.39395206328
Q8NHQ8,Ras association domain-containing protein 8 OS=Homo sapiens OX=9606 GN=RASSF8 PE=1 SV=2,RASSF8,48.3,867152.1392187591,3519831.216823415
Q96RL1,BRCA1-A complex subunit RAP80 OS=Homo sapiens OX=9606 GN=UIMC1 PE=1 SV=2,UIMC1,79.7,1867883.6111454922,3023480.8377774893
Q9H307,Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5,PNN,81.6,1710302.6452568455,1962110.8641231789
P82979,SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=3,SARNP,23.7,5141775.586828894,5909202.632302885
P02008,Hemoglobin subunit zeta OS=Homo sapiens OX=9606 GN=HBZ PE=1 SV=2,HBZ,15.6,2557771.512214359,2750644.2340685744
Q969X6,U3 small nucleolar RNA-associated protein 4 homolog OS=Homo sapiens OX=9606 GN=UTP4 PE=1 SV=1,UTP4,76.8,715947.5282685594,690545.050437654
